iter	Passed	Remaining
0	4	4328
1	8	4072
2	11	3854
3	15	3754
4	18	3759
5	22	3735
6	25	3671
7	30	3756
8	35	3866
9	39	3878
10	42	3824
11	46	3805
12	49	3783
13	53	3788
14	57	3751
15	60	3738
16	64	3736
17	68	3736
18	72	3740
19	76	3743
20	80	3748
21	83	3720
22	87	3710
23	91	3707
24	95	3706
25	98	3690
26	102	3694
27	107	3718
28	110	3710
29	115	3725
30	119	3727
31	122	3720
32	126	3718
33	131	3723
34	134	3717
35	138	3720
36	142	3714
37	146	3717
38	150	3718
39	154	3712
40	158	3706
41	162	3708
42	166	3705
43	170	3700
44	174	3700
45	177	3684
46	181	3675
47	184	3660
48	188	3650
49	192	3648
50	195	3647
51	199	3646
52	203	3643
53	208	3645
54	212	3642
55	215	3637
56	219	3634
57	223	3633
58	227	3633
59	231	3629
60	235	3618
61	238	3613
62	243	3618
63	247	3615
64	251	3613
65	255	3609
66	259	3608
67	262	3603
68	266	3600
69	270	3590
70	274	3588
71	277	3579
72	281	3577
73	285	3570
74	289	3565
75	292	3560
76	296	3559
77	300	3557
78	304	3549
79	308	3548
80	312	3543
81	316	3540
82	320	3538
83	324	3535
84	327	3527
85	331	3527
86	335	3518
87	338	3509
88	342	3508
89	346	3504
90	350	3500
91	354	3498
92	358	3495
93	362	3494
94	366	3492
95	370	3488
96	374	3483
97	377	3475
98	381	3473
99	385	3471
100	389	3466
101	393	3467
102	397	3464
103	401	3461
104	405	3456
105	409	3457
106	414	3461
107	419	3465
108	425	3476
109	431	3490
110	435	3490
111	440	3495
112	444	3487
113	448	3482
114	451	3478
115	456	3476
116	461	3480
117	465	3482
118	471	3493
119	475	3489
120	479	3483
121	483	3481
122	487	3478
123	491	3473
124	495	3468
125	499	3465
126	503	3464
127	507	3459
128	511	3455
129	516	3455
130	520	3452
131	524	3448
132	528	3444
133	532	3441
134	536	3438
135	540	3434
136	544	3429
137	548	3425
138	552	3421
139	556	3416
140	560	3412
141	564	3411
142	569	3411
143	573	3408
144	577	3404
145	581	3400
146	585	3395
147	588	3390
148	592	3383
149	596	3379
150	600	3374
151	603	3369
152	608	3366
153	612	3362
154	615	3357
155	619	3352
156	624	3353
157	628	3349
158	632	3347
159	636	3343
160	640	3338
161	644	3335
162	648	3331
163	652	3327
164	656	3322
165	660	3317
166	664	3312
167	668	3309
168	672	3306
169	676	3301
170	679	3295
171	684	3294
172	690	3298
173	694	3297
174	699	3296
175	703	3292
176	707	3288
177	711	3284
178	715	3280
179	719	3275
180	723	3272
181	726	3267
182	730	3263
183	734	3258
184	738	3254
185	742	3249
186	746	3244
187	750	3240
188	754	3235
189	758	3232
190	762	3229
191	766	3226
192	770	3222
193	774	3217
194	778	3215
195	783	3212
196	787	3210
197	792	3209
198	797	3210
199	802	3209
200	806	3206
201	810	3203
202	815	3201
203	819	3198
204	823	3195
205	828	3194
206	833	3191
207	837	3189
208	842	3187
209	846	3184
210	851	3183
211	857	3187
212	862	3188
213	867	3186
214	872	3184
215	876	3182
216	880	3177
217	885	3175
218	889	3172
219	893	3167
220	896	3160
221	900	3155
222	904	3150
223	908	3146
224	912	3142
225	916	3138
226	920	3133
227	924	3128
228	928	3125
229	932	3121
230	936	3118
231	941	3117
232	946	3115
233	951	3113
234	956	3112
235	960	3108
236	964	3104
237	968	3100
238	972	3096
239	976	3091
240	980	3086
241	984	3082
242	988	3077
243	991	3073
244	995	3069
245	999	3064
246	1003	3060
247	1007	3056
248	1011	3051
249	1015	3047
250	1020	3044
251	1024	3040
252	1028	3036
253	1032	3031
254	1036	3027
255	1040	3023
256	1044	3018
257	1047	3012
258	1052	3010
259	1056	3006
260	1060	3002
261	1064	2999
262	1070	2998
263	1074	2994
264	1077	2989
265	1082	2987
266	1086	2982
267	1090	2978
268	1094	2973
269	1098	2969
270	1102	2965
271	1106	2960
272	1110	2956
273	1114	2952
274	1118	2948
275	1121	2942
276	1125	2937
277	1130	2936
278	1134	2932
279	1138	2927
280	1142	2923
281	1146	2919
282	1150	2914
283	1154	2910
284	1158	2907
285	1163	2905
286	1167	2901
287	1171	2896
288	1176	2893
289	1181	2891
290	1185	2887
291	1189	2883
292	1193	2879
293	1197	2874
294	1200	2870
295	1205	2866
296	1209	2862
297	1214	2861
298	1218	2857
299	1222	2852
300	1226	2847
301	1230	2843
302	1234	2839
303	1238	2834
304	1242	2830
305	1246	2826
306	1250	2821
307	1254	2817
308	1257	2812
309	1261	2808
310	1266	2806
311	1271	2803
312	1275	2799
313	1279	2795
314	1283	2791
315	1287	2786
316	1291	2782
317	1295	2779
318	1300	2776
319	1305	2773
320	1309	2769
321	1313	2765
322	1317	2761
323	1321	2756
324	1325	2752
325	1329	2748
326	1333	2744
327	1337	2739
328	1342	2738
329	1346	2734
330	1350	2730
331	1354	2725
332	1358	2721
333	1362	2717
334	1366	2712
335	1370	2708
336	1374	2704
337	1378	2700
338	1382	2696
339	1386	2692
340	1391	2688
341	1395	2684
342	1398	2679
343	1403	2675
344	1407	2671
345	1411	2667
346	1415	2664
347	1420	2661
348	1427	2663
349	1435	2665
350	1440	2664
351	1445	2661
